"","estrogen_and_mTOR.Rapamycin_vs_Control"
"ARAF.ERN1",0.284623323373686
"CAMKK2.CIT",0.338027340867226
"CIT.TAOK3",0.311120315092698
"CAMKK2.TAOK3",0.892738874598058
"IRAK1.TAOK3",-0.017739734454318
"CIT.IRAK1",-0.0176088121155252
"CAMKK2.IRAK1",0.0797985043814733
"ARAF.MAP4K5",-0.250856112199018
"MAPK14.PDGFRB",-0.589465545575994
"CDK2.CSNK1E",1.30142822739394
"CSNK1E.MAP3K1",0.138179192502871
"MAP4K5.MAPK14",0.140625031807186
"MAP3K1.MAPK14",0.41990375974173
"CSNK1E.MAP4K5",-0.134280865166933
"MAP3K1.MAP4K5",-0.0456790845161009
"MAP4K5.PDGFRB",-0.23851126866661
"MAP4K4.MAP4K5",0.133152801625396
"MAP4K5.YES1",-0.232092747425746
"MAP3K1.MAP4K4",0.513083631033063
"MAP3K1.YES1",0.30005650321174
"CSNK1E.PDGFRB",0.302900704267497
"CSNK1E.MAPK14",0.40462938746358
"MAP3K1.PDGFRB",0.40462938746358
"MAP4K4.YES1",0.40462938746358
"CSNK1E.MAP4K4",0.297185083060318
"CSNK1E.YES1",0.508173626878034
"MAP4K4.MAPK14",0.508173626878034
"PDGFRB.YES1",0.400719833097427
"MAPK14.YES1",-0.0324736475337367
"MAP4K4.PDGFRB",0.400719833097427
"MAPK1.3.PDGFRB",0.917617161863722
"MINK1.SRPK1",1.200687824451
"CDK9.CIT",-0.456588524856095
"ARAF.PRKCI",1.64307781495376
"CAMKK2.CDK9",-0.519781281211691
"CDK9.TAOK3",-0.594056037715994
"ERN1.PRKCI",1.78150357646421
"CDK9.IRAK1",-0.452484060551804
"SRPK1.SRPK3",-0.460369852688614
"CDK2.CDK9",-0.648703952422977
"ERN1.IRAK1",-1.12134722785229
"KIT.MAPK14",-0.0608866520210324
"KIT.MAP3K1",0.618295585131976
"CSNK1E.KIT",0.568624680657387
"KIT.PDGFRB",-0.0598965591746704
"KIT.MAP4K5",0.568624680657387
"KIT.MAP4K4",0.568624680657387
"KIT.YES1",0.568624680657387
"CDK2.CIT",-0.762489199791363
"CAMK2D.CAMKK2",-0.386806186611069
"ABL1.LIMK1.2",-0.148037016692707
"PAK1.PAK3",0.811599177206452
"CAMKK2.CDK2",-1.08576482909227
"CDK2.IRAK1",-0.851027681012097
"CIT.MAST1",-0.0609150167116078
"ARAF.SRPK1",0.101242813383933
"CAMK2D.CIT",-0.393722052048628
"CDK2.TAOK3",-1.25650025531001
"ABL1.ABL2",-0.126278544962321
"ABL2.LIMK1.2",-0.148037016692707
"ARAF.CIT",0.782768564427877
"CAMKK2.MAST1",-0.0609150167116078
"MAST1.TAOK3",-0.0609150167116078
"CDK6.CDK9",-0.233753658462672
"CIT.ERN1",-1.47656283397545
"CAMK2D.TAOK3",-0.393722052048628
"CAMK2D.CDK9",-0.370541252083677
"CAMKK2.CDK6",-1.01395997726231
"CDK6.TAOK3",-1.24013233757611
"ARAF.MAPK14",-0.765574788526751
"CDK2.MAPK9",1.94476735115952
"CDK6.CIT",-0.8192301114346
"ARAF.PLK1",0.158918454486616
"ERN1.TAOK3",-2.86521866829514
"ARAF.IRAK1",0.399669060113688
"RPS6KA2.SRPK1",0.680011338832524
"CSNK1E.MAPK9",1.74976877590045
"CDK1.CDK5",0.069514037848753
"IRAK1.MAST1",-0.31660475175415
"CDK2.ERN1",-1.19517014011531
"ERN1.SRPK1",-0.824848911298463
"CDK6.IRAK1",-0.211438139589155
"ARAF.CAMKK2",-0.212530392077362
"CAMKK2.ERN1",-3.1604835381888
"CDK2.CDK4",-0.874672565919409
"CDK4.CDK9",-0.874672565919409
"SRPK3.TTK",-0.706648912669096
"ARAF.TAOK3",1.08683155863584
"ARAF.CDK2",-0.937233864462671
"MAPK14.SRPK1",-0.0514567170322236
"CAMK2D.IRAK1",0.270141490769084
"CDK9.ERN1",-2.20181337353885
"PIK3CA.TTK",-0.918620723371695
"MAP3K1.PRKCI",-0.600354966984684
"MAPK14.PLK1",0.472894809293803
"STK4.TNK2",-0.0678691464595465
"CDK4.IRAK1",-0.988609114114698
"CDK1.CDK2",0.348142057881762
"CDK2.CDK5",0.348142057881762
"CIT.CSNK1E",-0.898112302004337
"MAPK14.TTK",0.418694355372193
"PIK3CB.PLK1",0.532145985383602
"CDK9.CSNK1E",-0.922352207039356
"ARAF.CSNK1E",-0.997761641002023
"ERN1.MAPK14",-0.491013905104396
"CIT.SRPK1",1.38306226827317
"LATS1.PRKCI",-0.17326274569576
"ERN1.PLK1",-0.720998323638869
"CDK4.CIT",-0.909388119968465
"ARAF.TNK2",0.217839850088421
"CAMKK2.TNK2",0.522824774191913
"CDK4.TAOK3",-0.909388119968465
"CIT.TNK2",0.430574447204494
"MAP4K5.PLK1",0.540955106567362
"TAOK3.TNK2",0.430574447204494
"CAMKK2.CDK4",-0.747274605231147
"ARAF.TTK",0.0952820362500883
"ARAF.MAP3K1",-1.21609653340704
"ARAF.CDK9",-0.328952943269691
"CAMKK2.CSNK1E",-1.23633271090164
"CSNK1E.ERN1",-0.301678093245585
"CSNK1E.TAOK3",-1.13578069744569
"MAPK14.PRKCI",-0.506459418612342
"SRPK1.TAOK3",0.669722868840666
"ARAF.MINK1",1.8206590900046
"PLK1.SRPK1",0.627278228580673
"ARAF.PDGFRB",-0.926654724623213
"ARAF.RPS6KA2",0.914473685571356
"MAP4K5.PRKCI",-0.407395787447731
"MINK1.RPS6KA2",1.08379373604881
"ARAF.SRPK3",-0.747749631616957
"MAP3K1.PLK1",-0.0781640474493658
"MAPK1.3.MAPK14",-1.3663368429179
"ARAF.PAK3",-0.578174077371749
"CAMKK2.SRPK1",0.973069257489686
"CIT.MAP3K1",-1.73373423958063
"CIT.MAP4K5",-0.741799626540987
"IRAK1.TNK2",0.779650166584163
"MAPK14.TNK2",-1.03460430454962
"CIT.MINK1",1.25306352378454
"MAP4K5.SRPK1",0.705451539343162
"ERN1.MAP4K5",-1.13212426059274
"ERN1.TTK",0.0855657944921161
"IRAK1.SRPK1",0.50626290236718
"MTOR.PIK3CA",-1.86722175444314
"CSNK1E.IRAK1",-0.557128395248667
"CAMK2D.CDK6",1.60031512710227
"CIT.MAPK14",-0.195876234599783
"MAPK14.MINK1",-0.204192595864916
"CIT.TTK",-1.01423988404655
"ERN1.SRPK3",-1.04969762429274
"CAMK2G.CAMKK2",-0.109836573790773
"CAMKK2.MAP3K1",-1.150384570394
"CDK2.MAP3K1",-0.389238369163652
"MAP3K1.TAOK3",-1.150384570394
"PAK1.YES1",-0.558750259564535
"AKT1.PIK3CA",0.449614803027167
"CAMK2A.CAMKK2",0.5277770583014
"CDK4.ERN1",-1.50083259953523
"CIT.PRKCI",-0.696695713375808
"PDGFRB.PLK1",0.605041535229898
"CAMKK2.PAK2",-0.358102525477835
"CDK9.MAPK9",1.08832864959269
"CIT.PLK1",-0.565415884807884
"CSNK1E.PLK1",0.435144107335811
"ERN1.RPS6KA2",0.695810142648086
"PIK3CA.PIK3CB",-0.895993610604701
"PLK1.TTK",-0.727166222103876
"PRKCI.YES1",-0.368503354946046
"CIT.DYRK2",1.1087877517396
"CIT.PAK2",-0.358102525477835
"ERN1.MAP3K1",-1.30854733874729
"MAP2K1.TNK2",1.49328156906241
"MAP4K5.PAK3",0.763120122729686
"MAP4K5.TNK2",-0.0757859811133014
"MAPK1.3.TNK2",-1.96244453961357
"MAPK14.SRPK3",-0.00946665906546665
"PAK2.TAOK3",-0.358102525477835
"PDGFRB.SRPK1",0.771487378706488
"PRKCI.RPS6KA2",0.537926731041984
"CDK9.MAST1",-0.32537789227919
"CIT.MAPK9",-0.347230211800899
"PDGFRB.PRKCI",1.27588106898244
"ARAF.YES1",-1.29463362219068
"CAMKK2.MAP4K5",-1.27179799487037
"ERN1.PAK3",-0.424263782806143
"ERN1.TNK2",1.18856000470672
"IRAK1.PLK1",-0.671006622473555
"MAP3K1.SRPK1",-0.970827326871903
"PAK3.SRPK1",0.0231235999067342
"PRKCI.SRPK1",-0.108056596307634
"ARAF.MAPK1.3",-0.944266078772996
"CAMKK2.DYRK2",1.01218010518869
"CAMKK2.PHKG2",1.10855240419786
"CAMKK2.PRKCI",-0.550786322585848
"CSNK1E.PRKCI",1.20742843338875
"DYRK2.TAOK3",1.01218010518869
"MAPK14.TAOK3",-0.0720377308717564
"PAK3.PLK1",NA
"PAK3.PRKCI",-0.119822290425803
"STK3.TNK2",1.3516795218209
"AKT1.LIMK1.2",1.49691757605027
"CAMKK2.MAPK14",-0.0720377308717564
"CAMKK2.RPS6KA2",0.905129247806763
"CDK1.CDK9",0.447740830076048
"CDK5.CDK9",0.447740830076048
"CDK6.ERN1",-2.02997229808932
"CDK9.MAP3K1",-0.747274605231147
"CDK9.TNK2",1.40023817645506
"CSNK1E.PAK3",1.69930213856848
"MAP4K5.TAOK3",-0.945026663612926
"MAPK14.RPS6KA2",-0.684952151018895
"MTOR.TTK",-3.69763494501006
"PIK3CA.PLK1",-0.652204764808714
"AKT1.PRKACA",1.05531146540276
"ARAF.MAP4K4",-0.519518976762196
"MAPK14.PAK3",-0.00546557815977358
"PAK1.PAK4",0.240918908205309
"PLK1.TAOK3",-1.89271537416561
"CAMKK2.MAPK9",-0.347230211800899
"CIT.RPS6KA2",0.528233563572865
"IRAK1.MAP4K5",-0.561707996323305
"MAP4K5.MINK1",2.0094307928556
"MAPK9.TAOK3",-0.347230211800899
"PAK1.PRKCI",0.507690380653222
"PDGFRB.RPS6KA2",0.829554111011639
"PDGFRB.TNK2",-1.88478360694342
"PLK1.PRKCI",0.0231235999067342
"ABL1.PIK3CA",-1.10246772547842
"CAMKK2.PLK1",-1.26156986421329
"CDK9.SRPK1",0.514509394402905
"ERN1.MAP4K4",-0.682356411793259
"ERN1.MINK1",0.555064474738472
"IRAK1.MAP3K1",-1.6224435265593
"MAP3K1.TTK",0.428189788242032
"PLK1.YES1",-0.645058853840868
"TNK2.YES1",-0.256882173509353
"ARAF.PIK3CA",-0.80545635293679
"CAMKK2.MINK1",1.34991489193515
"IRAK1.PAK2",-1.10362635918503
"MAP3K1.PAK3",-0.126549155853217
"AKT1.TTK",-2.92961484583395
"CAMKK2.MAP3K15",0.628777607824595
"CIT.CSNK2A2",0.00126764139988306
"LATS1.PRKACA",1.6295097535018
"MAP4K4.PRKCI",-0.424515068273896
"MAP4K5.PIK3CA",0.0983637451048199
"MAP4K5.TTK",0.120259022398657
"MAPK1.3.SRPK1",0.670584397295285
"PAK3.PDGFRB",-0.335929754487443
"PLK1.TNK2",0.539161283753976
"CAMK2D.CAMK2G",-0.435641967297731
"CAMKK2.CSNK2A2",-0.318884888388581
"CIT.MAP3K15",0.321719420729813
"CIT.PHKG2",0.321719420729813
"CIT.SRPK3",0.612524324423563
"ERN1.YES1",-1.21609653340704
"IRAK1.MAPK14",-0.397920792828182
"MAP3K3.TNK2",-0.382193882064785
"PAK3.TTK",-1.50798620930106
"SRPK1.TTK",-0.0260561215197087
"AKT1.MTOR",0.91728177547415
"AKT1.TNK2",1.1263527062226
"MAP3K15.PHKG2",0.628777607824595
"SRPK1.TNK2",-0.401798333798705
"CAMKK2.CDKL5",0.258957761565107
"CIT.PDGFRB",-0.396528847453805
"CSNK1E.PAK1",NA
"ERN1.PDGFRB",-0.389238369163652
"MAP3K1.RPS6KA2",-0.828665734839502
"MAP4K4.PLK1",0.393602654663734
"MAP4K5.MAPK1.3",-0.197224796733797
"PLK1.RPS6KA2",-1.26740983705944
"RPS6KA2.SRPK3",-0.000801726815990955
"RPS6KA2.TAOK3",0.826266177469079
"SRPK3.TAOK3",0.530461625386706
"MAP3K15.TAOK3",0.321719420729813
"PAK4.PRKCI",0.530507925851119
"PHKG2.TAOK3",0.977651325596764
"STK3.STK4",0.951932015428373
"AKT1.LATS1",0.545795681133711
"AKT1.ROCK1.2",0.433468415073153
"CDK1.ERN1",-2.54681833650534
"CDK5.ERN1",-2.54681833650534
"CIT.MAPK1.3",-0.0821769986390823
"CSNK1E.SRPK1",1.07212090925633
"CSNK2A2.PHKG2",-0.318884888388581
"CSNK2A2.TAOK3",0.00126764139988306
"DYRK2.IRAK1",1.31303771516684
"IRAK1.MAPK9",0.293115177935121
"MAP3K1.TNK2",0.814928048104152
"MAP4K5.RPS6KA2",0.198259114941733
"PAK4.STK3",0.244125815469273
"PRKACA.ROCK1.2",2.07449515090886
"RPS6KA2.RPS6KA3",0.327585370990098
"TAOK3.TTK",-1.77944956405688
"ABL2.ARAF",-1.10913264945652
"ARAF.PAK1",-0.483149608777812
"CAMK2A.CDK9",0.360540368787829
"CAMK2A.CIT",-0.427828972460581
"CAMK2D.MAST1",-0.313082405533318
"CDK1.ULK1",-3.01445124892225
"CDK2.CDK6",-0.725440760640068
"CDK2.MAP4K5",-1.4310937242955
"CDK5.ULK1",-3.01445124892225
"CDK9.CSNK2A2",0.380663552162034
"CIT.MAP4K4",-1.01454382844947
"CIT.PIK3CA",-1.6159892565711
"CSNK1E.MAPK1.3",0.100033533824676
"CSNK1E.TNK2",-0.287138126166785
"LATS1.ROCK1.2",1.12248447026465
"LIMK1.2.SRPK1",-0.504131231099636
"LIMK1.2.TTK",-1.63191493394977
"MAP3K1.MINK1",NA
"MAP3K1.PAK1",0.182260429541206
"MAP4K5.PAK1",-0.682751657977092
"MINK1.PLK1",-0.683972653939241
"PDGFRB.TAOK3",-0.086187963288736
"PRKCI.TAOK3",-0.377309688266333
"RPS6KA2.YES1",0.167745315312683
"AKT1.CIT",-2.8669153842195
"ARAF.CDK4",-0.189921070347475
"CAMK2A.CAMK2G",-0.0850790442192291
"CAMK2D.CDK2",-0.0164793381984815
"CDK2.TNK2",1.18341725246429
"CDK4.CSNK1E",NA
"DYRK2.MAP3K15",0.00126764139988306
"DYRK2.MAST1",0.00126764139988306
"LIMK1.2.PIK3CA",NA
"MAP3K15.MAST1",0.00126764139988306
"MAP3K3.STK3",-0.173189926049265
"MAPK1.3.TAOK3",-0.0821769986390823
"MINK1.PIK3CA",-2.33763882181389
"PAK1.PLK1",NA
"PAK1.TNK2",-0.347786838028445
"PIK3CA.TNK2",-0.3431257773126
"ABL1.ARAF",-1.30581408670062
"ABL2.FYN",0.597312627624964
"ABL2.YES1",-0.492858976274589
"ARAF.PIK3CB",-0.53246861670995
"CAMK2A.CAMK2D",-0.0077626865163532
"CAMKK2.RPS6KA4",-0.377309688266333
"CAMKK2.YES1",-0.833254238740316
"CDK2.CSNK2A2",-0.243133620497598
"CSNK1E.RPS6KA2",-0.704793798630516
"CSNK2A2.MAST1",0.00126764139988306
"EIF2AK1.ULK1",-2.28208198792575
"IRAK1.MAP4K4",-0.568323734416982
"MAP3K3.RPS6KA3",-0.345812573888137
"MAP4K4.PAK3",0.89115190411789
"MAPK14.PIK3CA",-1.52568613083096
"MAST1.PHKG2",0.00126764139988306
"MINK1.PRKCI",0.243933305382712
"MINK1.TTK",0.429243575178399
"PAK3.YES1",0.775244595326905
"PDGFRB.TTK",0.18211480953655
"PRKCI.RPS6KA4",-0.377309688266333
"STK3.YES1",-0.173189926049265
"ARAF.CDK1",-2.11176123990868
"ARAF.CDK5",-2.11176123990868
"ARAF.LIMK1.2",-0.925331048823832
"CAMK2G.CIT",-0.880757244638848
"CAMKK2.EIF2AK1",-3.6246600947264
"CAMKK2.TAOK1",0.00126764139988306
"CAMKK2.TTK",-1.41074674623108
"CIT.TAOK1",0.00126764139988306
"CIT.YES1",-0.917511874757517
"CSNK2A2.DYRK2",0.00126764139988306
"CSNK2A2.MAP3K15",0.00126764139988306
"CSNK2A2.TAOK1",0.00126764139988306
"DYRK2.PHKG2",0.00126764139988306
"DYRK2.TAOK1",0.00126764139988306
"IRAK1.RPS6KA2",NA
"MAP3K15.TAOK1",0.00126764139988306
"MAPK1.3.PAK3",-0.800917414951422
"MAST1.TAOK1",0.00126764139988306
"PAK1.STK3",0.186614983853127
"PHKG2.TAOK1",0.00126764139988306
"PIK3CA.RPS6KA2",0.156737592526249
"PRKACA.PRKCI",0.173893419014223
"RPS6KA2.TNK2",-0.308680571960146
"TAOK1.TAOK3",0.00126764139988306
"ABL1.AKT1",0.591719404146181
"ABL2.MELK",-0.242176809934411
"ABL2.ULK1",-0.326049467590753
"AKT1.PRKCI",0.749875517479701
"CAMK2G.CDK9",-1.10008200163207
"CAMKK2.MAPK1.3",-0.0821769986390823
"CAMKK2.PDGFRB",-0.086187963288736
